ID;nece1;nece7;nece13;nece19;nece1_2;nece7_2;nece13_2;nece19_2;nece1_3;nece7_3;nece13_3;nece19_3
1;5;4;4;4;3;3;3;4;3;3;3;3
2;5;5;5;5;-99;-99;-99;-99;4;4;3;4
3;4;5;4;4;3;2;3;5;5;3;3;3
4;-99;-99;-99;-99;5;5;5;5;5;4;4;4
5;5;4;4;4;-99;-99;-99;-99;-99;-99;-99;-99
6;5;5;5;5;-99;-99;-99;-99;-99;-99;-99;-99
7;3;5;4;3;-99;-99;-99;-99;-99;-99;-99;-99
8;-99;-99;-99;-99;3;3;3;5;5;3;3;3
9;4;5;5;4;5;5;5;5;5;5;5;5
10;4;3;3;3;3;3;3;3;3;2;1;1
11;1;5;5;1;4;4;4;3;3;3;4;5
12;-99;-99;-99;-99;4;3;3;3;3;3;2;5
13;-99;3;4;2;3;3;3;1;3;3;3;1
14;-99;-99;-99;-99;5;3;5;1;5;5;5;5
15;3;3;4;5;5;4;5;5;5;5;5;5
16;4;5;5;4;5;2;2;3;4;1;3;1
17;-99;-99;-99;-99;5;2;5;1;5;1;5;1
18;5;5;5;5;4;3;4;5;5;3;3;3
19;3;4;3;4;3;2;3;3;-99;-99;-99;-99
20;-99;-99;-99;-99;3;3;3;4;3;3;4;3
21;5;5;5;5;5;5;5;5;5;5;5;5
22;4;4;4;2;3;5;3;3;4;4;4;4
23;3;4;4;2;3;3;3;2;3;3;3;3
24;4;5;4;2;5;3;5;3;3;3;3;4
25;4;5;4;4;3;3;3;3;3;3;3;3
26;3;4;4;4;3;3;3;3;3;3;3;3
27;3;3;3;4;4;3;4;5;5;5;5;5
28;-99;-99;-99;-99;5;5;5;5;5;5;5;4
29;5;3;3;3;5;4;4;5;5;5;4;5
30;-99;-99;-99;-99;5;5;5;5;5;5;5;5
31;3;3;4;4;3;4;3;4;3;3;4;4
32;-99;-99;-99;-99;5;5;4;5;5;5;5;5
33;4;4;1;1;5;2;2;3;5;4;4;3
34;5;5;5;4;-99;-99;-99;-99;5;4;5;3
35;3;3;3;3;4;3;3;3;3;4;3;3
36;3;4;4;5;4;2;3;3;5;4;3;4
37;4;5;5;5;4;3;3;3;3;1;2;3
38;-99;-99;-99;-99;3;3;4;3;3;4;4;3
39;5;5;5;5;5;5;3;5;5;5;5;4
40;4;4;4;2;5;5;5;4;4;3;5;4
41;4;1;1;5;3;3;4;3;4;4;4;4
42;4;3;3;5;4;4;4;4;4;4;4;5
43;3;4;3;4;4;3;4;3;4;5;5;5
44;-99;-99;-99;-99;-99;-99;-99;-99;5;4;4;-99
45;-99;-99;-99;-99;5;4;4;4;5;5;5;4
46;5;3;4;1;3;3;3;3;3;3;3;4
47;5;5;5;5;-99;-99;-99;-99;2;-99;3;2
48;4;4;4;4;5;5;5;5;5;4;4;4
49;4;4;3;2;4;4;3;3;5;5;5;5
50;4;2;1;1;3;4;3;3;4;3;3;3
51;5;4;5;4;5;5;5;5;5;3;3;1
52;-99;-99;-99;-99;2;3;3;3;2;3;4;5
53;3;3;4;5;4;3;3;3;1;3;3;3
54;3;4;3;4;4;2;3;5;5;3;5;5
55;5;3;3;4;3;3;4;5;4;3;4;4
56;4;4;4;5;4;3;3;2;5;3;5;4
57;3;4;4;3;3;2;3;1;3;2;2;3
58;4;5;5;5;4;4;3;3;5;5;4;5
59;3;2;2;3;5;5;5;5;5;5;5;5
60;5;3;4;4;5;4;5;5;5;3;3;5
61;1;5;5;5;4;5;5;5;5;5;5;5
62;5;3;3;3;4;5;4;4;4;5;5;4
63;-99;-99;-99;-99;1;2;2;3;3;3;3;3
64;5;5;5;3;4;4;4;5;5;2;4;5
65;3;3;2;5;4;5;5;5;5;4;3;3
66;-99;-99;-99;-99;3;3;3;3;3;3;2;4
67;5;5;5;4;3;4;4;3;4;4;4;4
68;5;5;5;5;-99;-99;-99;-99;3;3;3;3
69;3;-99;5;5;4;5;5;5;5;5;5;5
70;5;5;5;4;4;2;3;3;4;3;3;2
71;4;5;5;3;4;4;4;4;4;2;4;5
72;4;5;5;5;3;3;3;4;3;4;4;4
73;3;3;3;5;5;5;5;5;5;4;5;5
74;4;2;3;3;4;5;3;3;3;4;2;3
75;4;4;3;5;4;5;4;4;4;5;5;5
76;5;3;5;5;4;3;4;3;4;4;4;4
77;3;5;2;5;3;3;4;4;3;3;3;4
78;3;3;4;4;5;3;3;4;5;3;4;4
79;-99;-99;-99;-99;-99;-99;-99;-99;3;2;3;3
80;5;3;4;4;3;4;4;3;3;3;3;4
81;4;3;5;3;5;5;5;5;5;5;5;5
82;4;5;5;5;4;2;4;3;4;3;3;3
83;3;3;2;2;5;4;4;4;5;5;5;5
84;3;4;3;3;4;5;5;5;5;5;5;2
85;4;3;5;1;3;4;4;5;3;3;3;5
86;3;5;5;5;2;5;2;5;-99;3;4;5
87;4;5;5;5;3;4;3;3;5;2;4;2
88;5;5;5;4;4;4;4;5;3;3;4;5
89;3;3;3;3;3;3;3;4;4;4;4;4
90;3;3;3;4;4;4;-99;4;3;3;3;3
91;5;3;3;4;4;2;3;4;5;4;5;4
92;3;3;3;3;3;2;4;2;2;3;4;2
93;4;3;3;3;3;5;5;4;3;3;4;4
94;3;3;-99;3;3;5;5;3;4;5;5;4
95;5;5;5;3;3;3;3;3;3;3;3;3
96;5;5;5;4;3;4;4;3;3;4;3;5
97;-99;-99;-99;-99;4;4;4;3;5;3;4;4
98;4;3;3;3;5;5;5;5;5;5;5;5
99;3;3;3;3;5;4;3;5;4;2;4;-99
100;5;4;3;5;5;5;5;5;5;4;3;5
101;5;5;5;5;4;4;4;3;3;3;3;2
102;4;3;4;2;5;3;4;2;4;4;4;2
103;4;4;4;5;5;5;5;5;5;4;3;4
104;3;5;4;5;5;5;5;5;5;5;5;4
105;-99;-99;-99;-99;3;5;5;3;3;3;4;4
106;4;3;2;2;4;4;3;4;4;3;3;1
107;5;5;5;5;4;3;4;3;4;-99;-99;4
108;5;4;5;5;5;5;5;4;5;5;5;5
109;5;5;5;3;3;5;5;5;5;3;4;-99
110;2;4;3;1;1;5;5;3;4;4;3;4
111;3;3;3;3;3;3;3;3;4;3;2;4
112;4;4;4;3;3;3;3;3;4;5;5;2
113;5;5;5;5;3;3;3;3;3;3;4;4
114;-99;-99;-99;-99;5;5;5;5;5;5;5;5
115;5;5;5;5;3;2;5;4;5;4;1;1
116;3;4;4;3;4;3;5;4;3;3;2;3
117;1;3;3;4;5;5;5;5;5;5;5;5
118;4;4;4;4;-99;-99;-99;-99;4;5;1;3
119;4;4;5;3;4;4;4;4;4;4;4;3
120;5;4;2;3;4;3;5;5;5;3;4;5
121;-99;-99;-99;-99;5;5;5;5;5;4;5;5
122;3;4;1;5;4;3;4;4;4;4;4;3
123;-99;-99;-99;-99;4;2;3;4;2;3;3;3
124;4;1;5;1;4;5;4;5;4;5;4;5
125;3;3;3;3;4;3;3;3;4;3;4;3
126;5;5;4;5;3;5;5;3;5;5;4;5
127;4;2;3;3;4;3;3;3;5;3;-99;-99
128;4;3;3;4;4;5;4;5;5;5;5;5
129;3;3;3;4;5;4;5;3;3;5;5;5
130;3;4;5;5;3;4;3;3;1;-99;2;3
131;4;3;3;4;3;3;3;4;4;4;4;2
132;5;5;5;5;3;2;4;3;5;-99;4;3
133;5;5;5;5;5;5;5;5;5;-99;5;2
134;4;3;3;3;4;4;5;5;4;4;4;4
135;4;5;5;3;5;5;5;5;5;4;5;5
136;-99;-99;-99;-99;4;4;4;4;3;4;5;5
137;4;4;5;4;4;4;5;5;5;4;5;5
138;5;5;5;3;5;4;4;3;5;4;5;4
139;5;5;5;5;5;5;5;3;5;5;5;5
140;3;3;3;3;4;4;3;5;5;3;3;3
141;4;4;5;4;5;2;-99;4;5;5;5;5
142;1;1;5;3;5;5;5;5;5;5;5;5
143;3;3;3;3;1;5;1;5;5;3;3;3
144;4;3;4;4;3;5;5;1;5;1;2;3
145;5;5;5;5;5;5;4;5;4;3;4;4
146;-99;-99;-99;-99;4;3;3;2;4;4;4;4
147;4;3;4;2;4;3;3;3;5;5;5;4
148;5;5;3;5;5;4;5;3;5;4;5;1
149;4;4;3;3;3;3;3;3;3;2;3;4
150;5;5;5;5;3;2;1;2;3;5;1;1
151;5;4;4;4;5;2;5;5;5;5;-99;5
152;4;4;3;4;3;3;3;4;3;3;3;3
153;2;5;1;3;4;3;4;2;4;2;3;3
154;5;5;4;4;4;4;4;5;3;3;2;1
155;3;5;4;5;2;3;3;2;2;2;1;2
156;5;5;5;5;4;4;4;4;5;5;5;4
157;3;5;5;5;3;3;3;4;4;3;4;5
158;4;3;3;5;5;5;5;5;5;5;5;5
159;4;44;5;5;4;4;4;5;3;3;-99;3
160;5;5;5;5;4;5;4;2;4;4;4;3
161;2;2;2;3;4;3;3;4;5;3;4;4
162;-99;-99;-99;-99;5;4;3;4;5;5;4;4
163;3;3;3;3;2;3;3;3;2;3;3;4
164;-99;-99;-99;-99;5;3;5;5;5;5;5;4
165;-99;-99;-99;-99;4;5;4;5;5;5;5;5
166;3;5;4;2;5;5;5;5;5;5;5;5
167;-99;-99;-99;-99;4;3;3;3;-99;3;3;3
168;3;4;5;3;3;3;2;4;3;3;4;3
169;4;3;3;3;5;3;3;3;5;4;5;3
170;5;4;3;5;4;4;4;3;3;2;3;3
171;5;5;5;5;4;5;4;4;4;4;4;-99
172;4;4;4;5;5;5;5;5;5;5;5;5
173;5;4;5;5;5;-99;4;5;4;3;5;3
