id;info1;compren1;simil1;voca1;info2;compren2;simil2;voca2
1;31.287;25.627;22.932;22.215;69.883;44.424;68.045;51.162
2;13.801;14.787;7.581;15.373;41.871;44.862;33.897;37.741
3;34.97;34.675;28.052;26.841;60.424;50.26;35.844;55.477
4;24.795;31.391;8.208;20.197;52.865;42.669;45.802;35.987
5;25.263;30.263;15.977;35.417;67.368;86.654;72.368;60.417
6;15.402;23.399;11.453;20.56;46.437;52.956;22.537;47.716
7;15.38;-1.253;2.318;13.004;53.977;36.341;39.912;35.373
8;19.883;6.704;14.16;14.868;26.901;33.02;21.679;22.763
9;12.632;13.847;10.276;23.224;54.737;40.163;36.591;54.803
10;23.69;25.446;11.416;21.786;45.119;52.232;53.508;53.929
11;25.298;29.337;13.202;25.692;64.583;44.643;62.946;64.531
12;22.262;12.946;6.186;16.897;43.69;39.732;25.319;28.951
13;23.816;28.571;11.749;19.13;29.614;28.571;24.172;38.696
14;23.333;25;21.429;21.25;55.476;47.959;44.388;46.696
15;17.544;28.947;10.902;17.829;35.088;36.466;14.662;49.408
16;20.43;35.714;11.175;24.113;46.237;35.714;38.825;45.887
17;16.667;3.571;7.143;17.5;42.121;50.325;38.312;36.591
18;25.476;27.934;17.538;18.192;39.762;35.587;21.365;24.888
19;18.947;9.211;13.346;16.118;40;39.286;32.143;43.75
20;25.439;19.737;16.165;18.224;67.544;57.331;53.759;57.697
21;1.037;23.254;-4.524;8.361;72.148;56.587;52.619;56.694
22;24.737;32.769;15.539;17.566;66.842;51.566;53.133;57.039
23;12.924;24.937;17.732;24.868;37.485;28.697;25.251;32.763
24;18.129;18.797;15.852;14.254;35.673;30.075;34.649;35.307
25;15.952;17.347;14.158;13.438;37.381;32.653;17.985;22.813
26;27.427;22.306;22.055;34.342;73.041;74.937;59.649;69.868
27;29.591;31.391;20.99;28.553;64.678;65.226;58.584;56.184
28;31.429;32.781;33.546;21.339;74.286;51.913;75.638;61.518
29;20.788;25.584;14.805;25.659;68.061;60.649;45.974;65.205
30;18.596;22.744;14.286;17.368;57.193;49.06;14.286;39.737
31;30;30.867;27.806;32.054;80;65.306;69.898;62.857
32;25.263;29.511;22.368;24.474;39.298;55.827;48.684;54.737
33;20;0.893;17.411;17.969;48.571;54.464;51.849;56.808
34;18.246;30.075;9.023;25.132;49.825;60.15;46.617;52.763
35;15.088;24.812;16.917;17.039;46.667;28.571;35.714;26.25
36;22.262;17.474;20.663;16.696;43.69;25.128;35.969;32.768
37;19.123;23.684;10.338;33.421;68.246;68.797;74.248;51.842
38;14.023;18.103;11.33;20.453;55.402;32.882;48.276;47.608
39;21.429;4.592;4.082;10;35.714;23.724;27.041;38.125
40;31.19;20.408;14.541;23.817;45.476;51.02;60.459;54.621
41;8.571;5.612;5.612;13.571;37.143;36.224;36.224;29.643
42;15.439;12.782;12.97;25;40;42.857;39.286;50
43;17.953;6.955;22.494;24.276;42.515;52.068;52.569;47.961
44;23.81;32.398;14.541;25.357;52.381;47.704;29.847;46.786
45;18.452;10.969;6.441;10.179;39.881;56.888;40.88;42.321
46;28.095;26.148;26.276;33.661;70.952;60.587;64.541;68.482
