ID ;ChGender ;T1MROPC ;T1MVC ;T1DVC ;T1DROPC ;T2MROPC ;T2MVC ;T2DROPC ;T2DVC ;T3MROPC ;T3MVC ;T3DROPC ;T3DVC
300204;1;3;3.25;2;1.67;3.33;3.25;1;1.25;2.33;3;1.67;1.25
300209;1;3.67;3;3.25;3.67;2.67;3.5;4;3.5;2.67;3.75;4;3.75
300211;2;2.67;2.75;2.75;1.67;2.33;3.5;1.33;2.25;2.33;3.25;2;2.25
300212;2;3;4;3.75;1.33;3;3.5;2.33;3.75;2.67;4;1.67;3.75
300213;1;2;4;4;3.33;4;3.75;2.67;2.75;3.33;4;2;1.75
300214;2;2.33;3.25;3;2.67;3.33;3.75;1.67;3;1.33;3;3;3.75
300216;2;1.33;3.25;3.25;2.33;3.67;3.5;2;3.5;3.33;3.25;3.33;3.75
300217;2;3;3.25;2.75;2.67;3.33;3;1.67;2.5;2.67;3;2.67;3
300219;2;1;1.75;2.5;1;1;2.75;1;3;1;2.75;1.67;3
300221;1;1;2.5;2.75;1.33;1.67;2.5;2;2.25;1.67;2.5;2;2.25
300224;1;3;3.25;4;3.67;4;4;3.67;2;4;3.25;3.33;3.5
300225;2;1;2.5;2.75;1.67;1;2.5;2;2.5;2;2.25;2.33;2.5
300226;1;4;4;3.5;1;3.33;3.5;1.67;3.5;3.33;4;3;3.25
300227;1;1.67;2.25;2.75;2;1.67;2.5;2.33;3;1.67;3.25;2.33;3.5
300230;2;2;2.75;1.5;1.67;2;2.25;1;1.75;2;2;2;1.75
300231;1;3.67;3.75;2.75;3;4;3.5;2.67;2.75;4;3;3;2.5
300234;1;2;3;3.25;2.67;2.33;3;2.67;3.25;1;4;2.67;2.5
300235;2;3.33;3;3;1;2;3;1.33;2.75;2.67;2.5;1.33;2.5
300236;2;2;2.75;2.75;3;2;2.25;3;2.25;2;2.75;3.67;2
300237;1;3;3.5;3;2.67;2.67;2.75;2;2.75;2.33;3.5;2.33;3.5
300240;1;3.67;4;3.25;1.33;1.67;4;2.67;3.5;1.67;4;1.67;3.25
300242;2;1.33;1.5;2.5;2;1.67;2;1.67;2.25;1.67;2.75;2.33;2.5
300243;2;1;2.5;2;1.67;1;2.5;2;2.5;1;2;1.33;2.5
300244;1;1.67;3.75;3.5;2.33;2.33;4;3.33;4;2.33;3.75;2.33;3.25
300245;2;1;2;2;2.33;1.67;2.25;2.33;2;1.33;2;2.33;1.75
300247;2;2.67;3.25;2.75;1;2.33;2.25;1.33;3.25;2.67;3.5;1.33;2.75
300248;2;1.67;2.75;3.25;2.67;2.67;2.5;2.33;2.5;2;2.5;99;99
300249;1;2.33;2.5;3;3;1.67;2;3.33;3.5;2.67;2.25;3.67;3.25
300251;1;1.67;2.75;1.5;1;1;2.75;1;1.25;1.67;2.75;1.33;1.5
300252;2;3;2.5;2.5;1;3.33;3;1;2;4;2.5;1;1.75
300254;2;2;2.25;1.75;1.33;2;1.75;1.67;1.5;99;99;2.33;2.25
300255;1;3;3;3.25;3;3;3;3;3.75;3.33;3.5;99;99
300256;1;1;2;1.75;1.33;1;1.75;1.67;2;1;1.5;1.67;1.5
300257;1;2.33;2.75;2.75;1.33;1;2;2.67;2.75;3;2.5;2;2.5
300258;2;3.33;3.5;3;1.33;2.33;3.25;1.67;2.75;3;3;2.33;3.5
300259;2;1;1;2;2;1;1;1.33;2.25;1;2.5;2;2.75
300260;1;2.33;2.75;2.5;3;1.67;3.25;2;2.5;99;99;99;99
300261;1;3;4;2.75;2;1.33;3.5;2.33;2.75;2;2.75;2.67;2.75
300262;1;3.33;3.25;3.25;3.33;3.33;2.75;3;3.25;3.33;3.75;3.33;4
300263;1;1;3.5;4;1;3;3.75;1;4;2.67;3.25;1.67;3.25
300264;2;2;2.75;2.5;1.33;1.67;3;99;99;99;99;99;99
300265;1;1.67;2.75;2.75;1.67;1.33;1.33;1;2.75;2;2;1;2.75
300266;2;2.67;2.75;3.75;2.33;2;2.25;2;3.5;2.33;2.5;2;2.75
300270;1;4;3.25;4;4;2.67;4;4;4;4;4;1.33;2.5
300271;1;2;2.5;2.75;3.33;3.67;3.75;3.67;3.25;3;3.5;3.67;3.25
300272;2;3;4;3.5;2.33;4;4;3;4;99;99;99;99
300273;2;2.67;2.5;1.5;1;2.67;2.75;99;99;2.33;3.5;99;99
300274;2;1.33;3.5;3.5;2.67;1;3.25;2.33;3;1.67;3.25;2.67;3.25
300277;2;2.33;3;4;4;1.67;3.75;2.33;3.5;99;99;99;99
300278;2;3;3.25;3.5;3.67;3;2.75;3.33;3.5;3.33;2.5;3.67;2.75
300279;1;3.33;2.5;1.5;2.33;2.67;2.25;1.33;1.25;2.33;2.5;2;1
300280;1;2.67;3;2.75;2;3;4;2;2.75;2.33;3;1.67;2.75
300281;1;2.67;2.75;3.5;2.33;3;4;1.67;3.5;4;4;1.33;3
300282;2;3.33;2.75;2.25;1.33;2;2.75;1;2;2;2;1;1.75
300283;2;2.67;3.25;2.25;2;2.67;2.25;2.33;2;3;2.75;2;2.25
300284;1;1;2;2;1;2;2.25;1;1.5;1.33;2;1;1.75
300285;2;1.33;2;1;1;1;1.75;1.33;1.25;1;2.75;2;1
300286;2;2.33;3;1.75;2.67;1.67;2.75;3;2.25;2.67;3;1.67;1.25
300287;2;1;3;2.5;2;1;2.25;1.33;2.25;1.33;2.25;1;2.75
300288;2;1.33;2.5;2.25;1.67;2;2;1;1.5;1.67;2.25;2;1.5
300289;2;2.33;2.75;3;3;2.67;3.25;2.33;3;3.67;3.75;2.67;2.5
300290;1;2;2.75;3.25;2.33;2.67;3;3.33;3.5;2;3;2.33;2.75
300291;2;3;2.75;3;2.33;2.33;2.75;2.67;2.75;3;2.5;2.33;2.75
300292;2;2.67;3.75;3.75;3;3;3.5;2.67;3.5;3.33;4;1.33;3.75
300293;1;1;2.5;3;3;2;2.75;3;2.25;2.67;2.25;2.33;2.25
300294;2;2.33;2.75;2.75;2.33;2.33;2.75;2.33;2.25;3.67;2.75;3;2
300295;1;3.67;3.25;3.75;3;2.67;2;99;99;99;99;99;99
300296;2;2.33;2.5;1.75;1.33;2;2.25;1;2;1;2;3;1
300298;2;2.67;2.75;1;1;2.33;1;1.33;2.75;3.33;3;1.33;2.5
300299;2;2.33;3.25;3;1;2.67;2;99;99;3;3;99;99
300300;1;1.33;3.25;1.5;1;1.33;2.5;1;1.5;1;3.5;2;1.5
300301;2;2;3;2.5;2;1.67;3.5;1;1.25;2;3;1.67;2
400101;2;1.67;3.75;2.75;3;2.67;2.75;2.33;2;2.33;2.25;2.33;1.75
400102;2;1;2;3.25;2.33;1;1.5;1;2.5;1.33;2;1;2.5
400104;2;2.33;3.25;3.5;2;1.67;3;1;3.75;1;2.75;1;2.5
400106;1;1.33;2;2.25;1.67;2.33;1.75;99;99;1.67;1.5;1;2.25
400108;1;1;2.75;2.75;4;1.33;2.5;2;1.25;1;2.5;3.67;1.5
400109;2;2.33;2.5;2.5;1;1.67;2.75;1.67;2;2.67;2.75;1;2
400110;1;2;1.75;2.25;1.33;99;99;99;99;99;99;99;99
400111;1;1.33;1.75;2.75;1;1;2;1;1.25;1;1.75;1.67;1.5
400112;1;2;2.25;2.25;3;2;1.75;2.67;1.75;1.67;1.25;2;2.75
400113;2;2;3.5;3;3;2.67;3.5;2;3;3;3.5;2.33;2.5
400115;1;1.33;2.5;3.5;3;1.67;2;1.67;2.75;1.67;2.5;2;3
400120;1;1.67;3.25;2.5;1;1;2.5;1.67;2.33;2;2;1;1.5
400122;1;1;1.5;1.5;2;99;99;99;99;99;99;99;99
400124;1;2.67;3.5;2.25;2.33;2.33;2.25;2.67;2.25;2.33;1.75;2.33;2
400303;2;1;2;3;2.33;1;1.25;2.67;2.5;1;1;1.67;2.5
400304;2;1.67;3.5;2.25;1.33;2;3.25;1.33;1.75;2;3;1;2
400305;2;1.67;3.25;2.5;1.33;1.67;2.75;1.33;1.5;1.33;2.75;1.33;1.75
400307;1;1.67;1.75;2.75;1;1;1.5;1.67;2.25;1.33;1.75;1;2.25
400309;1;2.67;2.75;2;2;1.67;2;2.67;2;2.33;1.75;2;1.5
400310;2;2;2.5;2;1;2;1.25;1.33;2.5;3;2.5;1;1.25
400313;2;1;2.5;2.5;2;1.33;2;1.67;1.5;1;2.75;1;2
400314;1;2;3;3;2;2;2;2;2.25;2.67;2.75;1.33;1.75
400315;1;3.67;3.5;3;3;3.67;3.25;2.33;3;3;3;2;3
400316;2;2.33;3;2.5;2.67;2.67;3.5;2.67;2.5;2.33;3;99;99
400317;2;3;2.5;2.75;1;2.67;2.25;1;1.75;2.33;1;1;2.25
400318;1;1.67;2;2.25;1.67;1.33;2.5;1.33;1.75;1;2.5;1;1.5
400319;1;1;2.25;2.75;2;99;99;99;99;99;99;99;99
400321;2;2.33;2.5;2.75;1.67;2;3;2;2.25;2.67;2;2.33;2.25
400322;1;2;3.25;2;1;2.33;2.25;1;1.75;2.33;2.75;1.67;1.75
400323;1;99;99;99;1.33;2;1;1.33;1.75;1.67;1;1.67;2
400324;1;2.67;3;3.25;2.67;2.33;3.25;3;3.25;2.67;2.75;2.33;3
400325;2;1.67;2.5;2.25;2.33;3;2.5;2;2.5;2.67;2.25;1.33;2.25
400326;1;2;1.25;3.5;3.33;2.67;1.75;2.67;3.5;1.67;1.75;3;2.75
400327;2;3.33;2.75;2;2;2.67;3.5;1.33;1;2.67;3.5;1;2
400328;1;2.67;3.25;2;1;2.33;2.25;1.33;2.75;3;3;1.67;3
400329;2;2.33;2.75;2.5;1;2;2.25;2;2.25;2;2.25;1.67;3.25
400330;1;1;2.5;3.25;1.67;1;2.25;2.67;2.25;2.33;2;2;3.25
400336;1;1.33;2.25;2.75;2.33;1.33;1.75;2.67;1.5;1;1.5;2.67;2.5
400342;1;3;2.75;3.25;3.67;3;2.75;4;3.25;3.33;3.25;4;3.5
400344;2;3;2.75;3;1.67;2;2.5;1;2.25;2.67;2.25;1;2.5
400346;2;1.33;1.75;2;2;1;1.75;1;1.75;1;2;1.67;1.5
400347;1;1;2.75;2.5;1.33;1;2.5;1;2.25;1.67;2.5;1;2
400349;1;1.67;2.5;4;3.67;1.67;2.75;3.33;4;1.33;1.5;4;4
400350;1;3;2.75;3;2.33;2;1.75;2.67;2.25;3;1.5;2.67;3
400351;1;4;2.5;3;2;4;2.75;2.33;2.75;3.33;3;1.67;2.75
400352;1;1.67;1;3.25;2.33;1.33;2.25;2.33;2.75;1;3.25;2.33;2.75
400353;1;2.67;3;3.5;2.67;2.33;3;3;3.25;3;3;3;3
400354;2;2.67;2.25;2;1;1;1.75;1.33;2.25;1;2;1;1
400356;1;3;99;3.5;2.33;2.33;2.25;2;2.75;2.33;2.5;2.67;2.75
400359;1;2.33;1.75;2;3.67;2.67;2;2.67;2.25;2;1;2.33;2.25
400365;2;1.67;3;3;2.33;1.67;2.25;3;2;2;2.5;1.33;2.25
400366;2;2;2.75;3.25;2;1;3;3;3;1;2.75;1.33;2.5
400368;1;2.67;3.25;2.75;2.33;2.33;3.75;2.67;1.75;1.67;3.25;2.67;2
400371;2;2.33;2.5;2.5;2.67;2.33;2.5;2;2.5;2;1.25;2;2
400372;2;2.33;2.25;2.75;2.33;2.33;3.75;2;2.75;1.67;2.25;2;2.75
400373;1;2;2.5;3;1;1;2;1;2.25;1.67;2;1;2.5
400374;2;3;3;3;3.67;2.33;2.67;2;1.25;1;2.25;1;2
400375;1;1;2.75;3.5;1;1.33;1.75;2;2.5;1;1.75;1;1.25
400376;1;1;1.75;2.75;3;1.67;1;1;2.5;2;1;1;2.25
400377;1;2.33;3;2.75;2.67;3;2.5;2;3;3;3;2.67;2.5
400379;1;2.67;3.5;2.25;2;2.67;3.25;2.67;2.75;2;2.25;2;1.75
