id;sexo;edad;deses16;deses17;deses18;deses19;satis16;satis19
1;2;64;3;2;3;2;4;4
2;2;60;2;4;2;4;4;4
3;2;26;2;2;1;1;4;4
4;1;51;3;1;1;2;4;3
5;1;69;1;1;NA;NA;4;NA
6;1;62;1;4;1;2;4;4
7;2;54;3;3;2;2;3;4
8;2;32;2;3;2;2;3;4
9;1;38;2;5;2;1;4;4
10;1;46;2;1;NA;NA;3;NA
11;2;20;2;2;NA;NA;3;NA
12;1;20;2;1;NA;1;3;4
13;2;19;2;3;3;2;4;5
14;1;69;1;1;1;1;4;4
15;2;56;1;2;2;2;3;3
16;1;46;2;3;3;2;3;4
17;2;65;2;2;2;2;4;5
18;1;35;2;3;2;1;4;3
19;2;26;2;2;2;2;3;4
20;1;34;2;2;1;1;4;5
21;2;29;2;1;3;2;3;3
22;2;62;2;3;1;1;3;4
23;1;22;2;2;5;2;3;5
24;2;29;2;2;2;2;4;4
25;2;53;3;2;4;2;4;4
26;1;57;2;2;1;1;4;4
27;2;25;2;2;2;2;4;3
28;2;53;2;2;1;1;5;3
29;1;55;1;1;1;1;4;4
30;1;42;2;1;1;NA;4;NA
31;1;25;1;1;2;1;4;4
32;1;28;2;2;1;1;4;3
33;2;23;2;1;NA;2;4;3
34;2;41;2;2;1;1;3;5
35;2;28;1;1;NA;2;3;3
36;2;18;1;1;2;NA;5;NA
37;1;34;1;1;2;1;5;4
38;1;56;1;2;1;1;3;4
39;2;48;1;NA;NA;NA;4;NA
40;2;70;2;NA;NA;NA;5;NA
41;2;36;2;2;4;2;4;4
42;1;56;2;2;2;2;4;4
43;2;57;2;2;2;NA;3;NA
44;1;37;1;1;2;1;4;4
45;2;64;2;3;4;2;4;3
46;1;22;2;2;2;2;2;3
47;1;47;3;2;NA;NA;3;NA
48;1;22;1;1;2;2;2;2
49;1;48;1;1;1;2;5;5
50;1;28;1;1;NA;1;4;4
51;1;52;1;1;1;1;5;4
52;2;38;2;2;NA;1;5;4
53;2;63;3;3;3;2;4;4
54;1;54;4;3;4;1;3;4
55;1;46;1;1;1;NA;3;NA
56;2;23;1;2;1;NA;4;NA
57;2;29;2;1;2;1;1;5
58;1;56;2;NA;NA;NA;4;NA
59;1;42;1;NA;1;1;5;4
60;2;41;2;1;1;2;4;4
61;2;50;2;2;1;2;5;5
62;2;32;1;1;2;2;4;4
63;2;36;3;2;2;3;4;4
64;2;39;1;5;1;1;5;4
65;2;68;1;2;2;1;4;5
66;1;27;3;2;2;3;3;3
67;2;49;1;NA;NA;NA;4;NA
68;1;31;2;2;3;4;4;2
69;1;26;1;1;3;1;4;4
70;1;50;1;2;2;2;4;3
71;2;27;2;1;2;1;4;4
72;2;34;1;NA;NA;NA;4;NA
73;2;54;1;1;2;2;4;4
74;1;36;2;2;2;1;5;4
75;1;25;2;2;2;3;4;3
76;2;39;2;2;5;4;4;4
77;2;26;1;1;1;1;5;5
78;1;54;2;1;NA;NA;5;NA
79;1;26;2;2;2;2;4;5
80;1;39;1;1;1;2;4;4
81;2;22;1;1;1;NA;4;NA
82;1;22;2;1;NA;NA;3;NA
83;1;23;2;1;1;2;3;3
84;2;31;1;1;NA;1;3;3
85;2;27;1;1;1;1;4;4
86;1;33;2;2;2;3;2;3
87;2;41;1;1;1;1;5;4
88;2;43;1;2;NA;NA;5;NA
89;2;37;2;2;2;NA;4;NA
90;1;70;1;1;1;1;5;4
91;2;44;2;1;1;2;2;2
92;2;47;2;NA;NA;NA;2;NA
93;1;54;2;1;2;2;4;4
94;2;53;1;1;1;2;3;4
95;1;19;1;1;2;NA;4;NA
96;2;51;2;1;2;NA;2;NA
97;1;35;2;NA;1;NA;5;NA
98;2;49;1;2;NA;2;4;4
99;2;41;2;1;1;1;5;5
100;2;19;2;2;1;2;4;5
101;2;56;1;2;1;2;4;2
102;1;19;1;1;1;NA;2;NA
103;2;18;2;2;2;2;4;5
104;2;65;2;2;3;NA;5;NA
105;1;25;2;NA;NA;NA;2;NA
106;1;30;1;NA;NA;NA;4;NA
107;2;49;3;3;2;2;4;3
108;2;51;2;2;2;1;4;3
109;2;64;2;1;1;2;4;3
110;1;38;2;2;3;1;4;4
111;1;29;2;2;1;1;4;4
112;2;51;1;1;NA;2;4;5
113;2;52;2;1;1;1;5;5
114;1;45;2;3;2;2;4;4
115;1;38;1;2;1;2;3;4
116;1;40;2;NA;NA;NA;5;NA
117;1;27;2;NA;NA;NA;3;NA
118;1;61;1;1;1;1;4;4
119;2;49;4;1;1;5;3;4
120;2;30;2;2;NA;NA;3;NA
121;2;37;2;1;2;5;3;3
122;1;52;2;NA;3;3;4;4
123;2;43;2;4;2;3;4;3
124;2;60;1;1;1;1;5;4
125;2;45;2;1;1;1;5;4
126;2;48;1;2;1;1;4;4
127;2;47;1;2;2;2;5;3
128;1;32;2;1;2;2;2;2
129;1;44;2;3;4;2;4;4
130;2;46;1;3;NA;NA;5;NA
131;2;24;2;NA;1;3;4;4
132;1;23;2;4;3;3;4;3
133;2;24;2;2;2;3;3;2
134;2;50;2;1;2;2;4;4
135;1;46;2;2;NA;NA;2;NA
136;1;69;3;2;4;2;2;4
137;2;49;2;2;1;2;4;4
138;2;25;2;5;2;2;4;3
139;1;47;1;NA;NA;NA;4;NA
140;2;36;2;2;2;2;4;5
141;1;59;1;2;2;2;4;4
142;1;25;1;1;1;2;4;2
143;2;34;1;2;2;2;4;4
144;2;31;2;2;2;3;4;2
145;1;59;2;2;2;2;2;4
146;1;38;2;2;NA;NA;3;NA
147;1;24;2;NA;NA;NA;4;NA
148;2;59;1;4;3;2;1;4
149;1;52;1;NA;NA;NA;4;NA
150;2;43;2;2;2;NA;2;NA
151;1;74;2;2;1;4;2;4
